id,name,subsequence_number,category_id,image_link,description,price
20,Карбонара на пышном тесте 25 см,20,1,https://sushiwok.ru/img/72d3d649dfd12c09ab0bf0e702eecef2,"бекон, сыр моцарелла, сыр пармезан, лук красный, карбонара соус, пышное тесто 410 г",379
21,Карбонара на пышном тесте 30 см,21,1,https://sushiwok.ru/img/834367ace98d75877826fc0a5bf7e0d3,"бекон, сыр моцарелла, сыр пармезан, лук красный, карбонара соус, пышное тесто 580 г",549
22,Жаркий сезон,1,2,https://sushiwok.ru/img/822ae15c66619acb062872f03fe3ba73,"запеч. ролл Аяши, запеч. ролл Румяный, запеч. ролл Сырный, запеч. ролл Хот Фиш, запеч. ролл Флорида, запеч. ролл Крабик Хот 1044 г",1109
23,Азия Хит,2,2,https://sushiwok.ru/img/8564b01b8ffd9d3894a2f5f04fa2ec59,"ролл Спайси креветка, ролл Пиканто Фиш, ролл Калифорния в масаго, мини-ролл Огурец 688 г",849
24,Топ четверка,3,2,https://sushiwok.ru/img/571f45e93aeb8b1ddf2d70baf492c389,"запеч. ролл Аяши, запеч. ролл Чикен Чиз, ролл Фреш Чикен, ролл Крабик 664 г",549
25,Праздничный килограмм,4,2,https://sushiwok.ru/img/373f3447b1513678e8562ba1a8716866,"ролл Филадельфия в масаго, запеч. ролл Окунь Хот, ролл Хиджи, ролл Калифорния в масаго, ролл Пиканто Фиш 1031 г",1255
26,Хит сезона,5,2,https://sushiwok.ru/img/02e81fef81257d8193dd29805d9524b3,"ролл Филадельфия в угре, ролл Филадельфия в масаго, запеч. ролл Аяши с угрем, запеч. ролл Окунь Хот 808 г",999
27,Дрим Тим,6,2,https://sushiwok.ru/img/436f8ca8dae8bae4c67e20472897493c,"ролл Яки Чикен, ролл Яки Краб, ролл Яки Чиз 590 г",799
28,Биг Фиш,7,2,https://sushiwok.ru/img/8a8a8d940548b1bfbe8bda5494a254aa,"ролл Филадельфия в масаго, ролл Филадельфия Сом, ролл Калифорния в масаго, ролл Сочная креветка 815 г",1289
29,Жара,8,2,https://sushiwok.ru/img/84a916744448b2d2d121037a9a9975f7,"запеч. ролл Окунь Хот, запеч. ролл Сырный, запеч. ролл Аяши, запеч. ролл Рэд Фиш 915 г",999
30,Дабл Фила,9,2,https://sushiwok.ru/img/2dd111610bfa83a6242fcc125f9e76db,"ролл Филадельфия Сом 2 шт., ролл Пиканто Фиш, ролл Филадельфия в масаго 2 шт. 969 г",1469
31,Весенний,10,2,https://sushiwok.ru/img/eb4158528da1154aaa1a56b2507d3480,"ролл Куин, ролл Тори Рэд, ролл Фишер 521 г",549
32,Филомания,11,2,https://sushiwok.ru/img/e67690f1009bed541db257b4af947af5,"ролл Филадельфия в масаго, ролл Филадельфия Микс, ролл Калифорния в кунжуте, ролл с огурцом 692 г",949
33,Смарт сет,12,2,https://sushiwok.ru/img/8f5d20e746d291f803ebfb933a439003,"ролл Фиеста, ролл Пиканто Фиш, ролл Калифорния в кунжуте 582 г",599
34,Морской сет,13,2,https://sushiwok.ru/img/4dff4d58b23e069c2cf461a240520b16,"ролл Кани маки, ролл Пиканто Фиш, ролл Калифорния с тигровой креветкой 580 г",699
35,Сахара,14,2,https://sushiwok.ru/img/7d901e776bb2908ee787f0ec912e29c8,"запеч. ролл Флорида, запеч. ролл Румяный, запеч. ролл Рэд Фиш 672 г",799
36,Запеченный сет,15,2,https://sushiwok.ru/img/0e439ca35f529bb6e1e3d13cdf8d22da,"запеч. ролл Хот Фиш, запеч. ролл Крабик Хот, запеч. суши Краб 2 шт. 312 г",549
37,Мегаполис,16,2,https://sushiwok.ru/img/32f69f5ceff0f2c59ea3e9af74a687f8,"ролл Филадельфия в масаго, ролл Марокко, запеч. ролл Крабик Хот, запеч. ролл Горячий Хит, запеч. ролл Румяный 929 г",1289
38,Большой куш,17,2,https://sushiwok.ru/img/bf245ffafc1e15adff8480e256f9fae3,"ролл Спайси креветка, ролл Азия Чикен, ролл Пиканто Фиш, запеч. ролл Крабик Хот, ролл Калифорния с тигровой креветкой, ролл Марокко, запеч. ролл Румяный, запеч. ролл Сырный, запеч. ролл Окунь Хот 1759 г",2099
39,Вегетарианский сет,18,2,https://sushiwok.ru/img/de234299639c9427cc89c0fdcd34036d,"овощной ролл, ролл с авокадо, ролл с огурцом, суши чука 2 шт. 411 г",499
40,Комбо на одного №1,19,2,https://sushiwok.ru/img/c714a0f80ab1effe3eb70b1c2c84cdee,"запеч. ролл Сырный, wok сытный М 422 г",499
41,Комбо на одного №2,20,2,https://sushiwok.ru/img/65b62ccf852e41096f430e7f4863d9d8,"ролл Пиканто Фиш, wok классический M 412 г",499
42,Комбо на двоих №1,21,2,https://sushiwok.ru/img/d4939e21428b7f29a094f0e87f80ac3a,"ролл Филадельфия в масаго, ролл Азия Чикен, Wok сытный М, Wok классический M 821 г",919
43,Сочное трио,22,2,https://sushiwok.ru/img/5f61415f27330ed1dee8afb40eacb009,"ролл Пиканто Фиш, ролл Азия Чикен, ролл Фиеста 605 г",857
44,Сочный килограмм,23,2,https://sushiwok.ru/img/6dc255da9ac390f8cad7b666b06564cf,"запеч. ролл Рэд Фиш, запеч. ролл Окунь Хот, ролл Филадельфия в масаго, ролл Пиканто Фиш, ролл Фиеста 1077 г",1605
45,"Супер МИКС, 1 кг",24,2,https://sushiwok.ru/img/050c6a768f9b0db910df0e260411dbb6,"ролл Калифорния в масаго, ролл Калифорния в кунжуте, ролл Азия Чикен, ролл Фиеста, ролл Кани маки 1012 г",1375
46,"Большое ассорти, 2 кг",25,2,https://sushiwok.ru/img/f3642d13a20e060f056e07c04f79de90,"запеч. ролл Аяши, запеч. ролл Рэд Фиш, запеч. ролл Окунь Хот, запеч. ролл Флорида, запеч. ролл Хоккайдо, ролл Азия Чикен, ролл Фреш Чикен, ролл Изуми, ролл Сенсей 2111 г",2821
47,Аппетитный килограмм,26,2,https://sushiwok.ru/img/73edc01df994e1bdb1b7d9dc44e5e7b4,"ролл Филадельфия в масаго, ролл Калифорния в масаго, ролл Калифорния в кунжуте, ролл Фреш Чикен, ролл Изуми 1034 г",1475
48,"Большая семерка 1,5 кг",27,2,https://sushiwok.ru/img/65d973f1179de2cf34ffa86648418e59,"запеч. ролл Аяши, запеч. ролл Рэд Фиш, запеч. ролл Флорида, запеч. ролл Хоккайдо, ролл Рэд Краб, ролл Азия Чикен, ролл Фреш Чикен 1592 г",2203
49,"Королевские 1,5 кг",28,2,https://sushiwok.ru/img/8aa01bcd13c712f2c797e64b0a56117d,"запеч. ролл Рэд Фиш, запеч. ролл Окунь Хот, запеч. ролл Хоккайдо, запеч. ролл Флорида, ролл Азия Чикен, ролл Калифорния в кунжуте, ролл Фиеста 1610 г",2203
50,Ролл Филадельфия в угре,1,3,https://sushiwok.ru/img/766e3215d37ead10957e57107f95c86c,"угорь, авокадо, кунжут, сыр сливочный, унаги соус 214 г",399
51,Ролл Филадельфия Микс,2,3,https://sushiwok.ru/img/80142bc358ca42572776cc2ed356ab06,"лосось, огурец, сыр сливочный 217 г",379
52,Ролл Филадельфия,3,3,https://sushiwok.ru/img/d35ae5165500909e9efa360e50373959,"лосось, огурец, сыр сливочный 217 г",429
53,Ролл Филадельфия Гранд  ,4,3,https://sushiwok.ru/img/ac495640ee0c3c0b399eb359ce6746c2,"лосось, авокадо, огурец, сыр сливочный 252 г",529
54,Ролл Филадельфия в масаго,5,3,https://sushiwok.ru/img/6b841dc50a973b223e933d9e47662283,"лосось, сыр сливочный, огурец, масаго 177 г",349
55,Ролл Дабл унаги,6,3,https://sushiwok.ru/img/a1d4d31c11f80894044fe0c41e1d53c9,"кларий, цыпленок, краб-крем, сыр сливочный, омлет тамаго, апельсиновый соус, спайси соус, паприка, кунжут 234 г",399
56,Ролл с огурцом,7,3,https://sushiwok.ru/img/38be000f5ecdb570eebfa5e3dc036dd7,огурец 102 г,159
57,Ролл Калифорния с тигровой креветкой,8,3,https://sushiwok.ru/img/e678e100d33f72acdc2e66457f9e9304,"краб-крем, креветка тигровая, огурец, масаго 187 г",359
58,Ролл Калифорния в масаго,9,3,https://sushiwok.ru/img/8d354d6e187183b2e2153697f246cb33,"краб-крем, авокадо, огурец, масаго 192 г",224
59,Ролл Филадельфия Сом,10,3,https://sushiwok.ru/img/3f29625d14e1b991b1d763359ff7ca7d,"кларий, сыр сливочный, огурцы, кунжут белый, унаги соус 214 г",399
60,Ролл Марокко,11,3,https://sushiwok.ru/img/ba09c36515035130ed3429a804ba9ac1,"омлет тамаго, огурец, кунжут, краб-крем, сыр сливочный, рыба красная терияки, масаго 209 г",299
61,Ролл Роял Фиш ,12,3,https://sushiwok.ru/img/34d2dc4ad903b85187686f14d5af7671,"сыр сливочный, креветка тигровая, авокадо, икра масаго оранжевая, рыба красная терияки 192 г",429
62,Ролл Сочная креветка,13,3,https://sushiwok.ru/img/fd02c894637b69fc95e9ff18de6aec5d,"унаги соус, креветка тигровая, краб-крем, огурец, сыр сливочный, масаго 232 г",429
63,Ролл Пиканто Фиш,14,3,https://sushiwok.ru/img/9bce68b9271988abbd664b20d7d07795,"рыба красная терияки, сыр сливочный, салат айсберг, икра масаго оранжевая, медовый соус 187 г",263
64,Ролл Сырная креветка,15,3,https://sushiwok.ru/img/9698fe3205ab79dc5e216c5cfa357845,"сыр сливочный, салат айсберг, краб-крем, медовый соус, пармезан, масаго, креветки 232 г",429
65,Ролл Спайси креветка,16,3,https://sushiwok.ru/img/aa5cde7d384b1919305495c6b6be2580,"сыр сливочный, огурец, масаго, креветки, спайси соус, рыба красная терияки 207 г",399
66,Ролл Изуми,17,3,https://sushiwok.ru/img/56c9e5b9524601ed720f70bf10c82d6b,"окунь терияки, яичный блин, огурец, сыр сливочный, унаги соус, кунжут 227 г",279
67,Ролл Фреш Чикен,18,3,https://sushiwok.ru/img/339c747c19913f957bd970d9ce577e70,"цыпленок, яичный блин, огурец, сыр сливочный, медовый соус, унаги соус, спайси соус, кунжут 242 г",195
68,Ролл Азия Чикен ,19,3,https://sushiwok.ru/img/ea0c3852105faf4b39c961ebb62fc521,"цыпленок, краб-крем, омлет тамаго, сыр сливочный, азиатский соус, шеф-соус, кунжут 219 г",279
69,Ролл Рэд Краб,20,3,https://sushiwok.ru/img/7bdcdcc6208a3aafb7252b572089b664,"краб-крем, сыр сливочный, огурец, масаго, кунжут 199 г",209
70,Ролл Сэнсей,21,3,https://sushiwok.ru/img/75a237e282dfba81447aaa3b7adb3b1f,"цыпленок, омлет тамаго, сыр сливочный, шеф-соус, кунжут 248 г",289
71,Ролл Калифорния в кунжуте,22,3,https://sushiwok.ru/img/abb0c3a59151db5fc10107638fad2c5d,"краб-крем, огурец, авокадо, кунжут 196 г",269
72,Ролл Фиеста,23,3,https://sushiwok.ru/img/36f439d7b71e93d304d0b7e1c2d80b37,"сыр сливочный, салат айсберг, краб-крем, кунжут, спайси соус, унаги соус, яичный блин 199 г",249
73,Ролл Кани маки,24,3,https://sushiwok.ru/img/2e63af7704c0122b9658c0e594ba827b,"краб-крем, омлет тамаго, салат айсберг, медовый соус, кунжут 206 г",279
74,Овощной ролл,25,3,https://sushiwok.ru/img/54c894a3333373c3ffbbb98de373b9eb,"авокадо, перец болгарский, огурец, салат айсберг, сладкий чили соус 147 г",229
75,Ролл Ореховый рай,26,3,https://sushiwok.ru/img/a63a2a0109957cc7c1a267ba094326cc,"тесто харумаки, грецкий орех, банан, мёд, сыр сливочный, сироп шоколадный, сироп клубничный 146 г",249
76,Ролл Сочный фрукт,27,3,https://sushiwok.ru/img/f69b5300052cb7ed824d66d4277a3317,"сыр сливочный, ананас, банан, киви, сироп клубничный, сироп шоколадный, тесто харумаки 146 г",249
77,Мини-ролл Унаги,28,3,https://sushiwok.ru/img/246a77394e85f0f14e12a334a9fac801,"кларий, кунжут белый, унаги соус 108 г",229
78,Ролл Крабик,29,3,https://sushiwok.ru/img/72a3b40492f4f52c55da1b0ba31af146,"краб-крем, сыр сливочный 122 г",199
79,Ролл с авокадо,30,3,https://sushiwok.ru/img/282b3ad4ce35f3b8f90a806b9736a73d,авокадо 102 г,179
80,Ролл Аяши с угрем,1,4,https://sushiwok.ru/img/a9585446cb0952c14cf0a05662d51f52,"угорь, унаги соус, кунжут, сырный соус, краб-крем 174 г",279
81,Ролл Медовый угорь,2,4,https://sushiwok.ru/img/77a13b720e597d376d874b2cbba65346,"угорь, цыпленок, омлет тамаго, сыр сливочный, масаго, медовый соус, спайси соус 258 г",349
82,Ролл Аяши,3,4,https://sushiwok.ru/img/83874665d60d97c3894a78db1105078a,"краб-крем, омлет тамаго, сырный соус, унаги соус, кунжут 179 г",289
83,Ролл Кабуки,4,4,https://sushiwok.ru/img/bd79bf88c68270c7e7bc823536fee58e,"рыба красная терияки, сыр сливочный, огурец, икра масаго, сырный соус, унаги соус, кунжут 249 г",399
84,Ролл Креветка Шеф,5,4,https://sushiwok.ru/img/f60d8e19be450eda225f16f94896ac23,"масаго, кунжут, краб-крем, авокадо, огурец, шеф-соус, креветки, азиатский соус, апельсиновый соус 272 г",429
85,Ролл Крабик Хот,6,4,https://sushiwok.ru/img/8ce6617d41aad55cdf3f8af8ef3d8468,"сырный соус, краб-крем 126 г",229
86,Ролл Рэд Фиш,7,4,https://sushiwok.ru/img/7e80c2d4866239c173fed4ff23f77154,"рыба красная, краб-крем, омлет тамаго, сыр сливочный, сырный соус, унаги соус, кунжут 271 г",349
87,Ролл Фиш микс,8,4,https://sushiwok.ru/img/8e7723d22c96d76f226445a9c89c1325,"рыба красная, окунь, краб-крем, сыр сливочный, масаго, сырный соус, медовый соус 237 г",359
88,Ролл Аяши унаги,9,4,https://sushiwok.ru/img/947ac0364cea4c221a60df75d9d81f12,"кларий, сырный соус, унаги соус, кунжут, краб-крем 174 г",349
89,Ролл Окунь Хот,10,4,https://sushiwok.ru/img/f08e7c47de64f1526707b4eb7b7d00b1,"краб-крем, тамаго яки омлет, кунжут белый, окунь, спайси соус, унаги соус, кунжут микс 243 г",329
90,Ролл Тигровая креветка Хот,11,4,https://sushiwok.ru/img/2b80756392275e2b8e3631b7a01af9bb,"креветка тигровая, краб-крем, сыр сливочный, сырный соус, унаги соус, масаго 257 г",429
91,Ролл Хиджи,12,4,https://sushiwok.ru/img/ce9071fb95e072361c8c47fa7ceefb99,"креветки, тесто харумаки, огурец, сыр сливочный, масаго, яки соус, кунжут 232 г",349
92,Ролл Хоккайдо,13,4,https://sushiwok.ru/img/a0036ef5341a089c233a5dcb7a85fad3,"цыпленок, омлет тамаго, сыр сливочный, сырный соус, унаги соус, кунжут, масаго 240 г",247
93,Ролл Румяный,14,4,https://sushiwok.ru/img/2629ea6a049c7b5aa7c458258522f92f,"креветки, сыр сливочный, яки соус, кунжут, унаги соус 159 г",319
94,Ролл Сырный,15,4,https://sushiwok.ru/img/86c9bd6fe968347cf229cdd58330baa7,"салат айсберг, сырный соус, сыр сливочный, унаги соус, цыпленок 222 г",255
95,Ролл Горячий Хит,16,4,https://sushiwok.ru/img/d0fde13d5a7ce9794ab0121c8900ded1,"цыпленок, кларий, омлет тамаго, сыр сливочный, масаго, медовый соус, спайси соус 258 г",399
96,Ё-ролл,17,4,https://sushiwok.ru/img/fc2b8a8b5b70658e2b802710759ac826,"креветки, сыр сливочный, огурец, яки соус, масаго, рыба красная терияки 232 г",419
97,Ролл Чикен Хани,18,4,https://sushiwok.ru/img/46ff9eb68a1d122dee2f4abf41b25783,"цыпленок, краб-крем, перец болгарский, салат айсберг, сырный соус, медовый соус, кунжут 230 г",329
98,Ролл Флорида,19,4,https://sushiwok.ru/img/2ca20be94c34d71391afb6f39fd87fa5,"краб-крем, сыр сливочный, омлет тамаго, яки соус, масаго 242 г",399
99,Ролл Хот Фиш,20,4,https://sushiwok.ru/img/fdad3be1dd4d458d862878e64da2f619,"рыба красная терияки, сырный соус 116 г",202
100,Ролл Чикен Чиз,21,4,https://sushiwok.ru/img/9ea96ddbd803f95232f4a2b0a473c52a,"сырный соус, цыпленок 121 г",239
101,Wok классический M,1,5,https://sushiwok.ru/img/9236c978216c2b53a7138dac1d3bebc5,"лапша удон, цыпленок, шампиньоны, капуста, морковь, перец болгарский, огурец, лук репчатый, терияки соус, кунжут 225 г",299
102,Wok классический L,2,5,https://sushiwok.ru/img/b217713ce0a38ee20ad2a61bc0c4fa14,"лапша удон, цыпленок, шампиньоны, капуста, перец болгарский, лук репчатый, огурец, морковь, терияки соус, кунжут 415 г",399
103,Wok Карри с рисом М,3,5,https://sushiwok.ru/img/1b408860aef205800eb6058bb5ab9054,"рис, цыпленок, морковь, перец болгарский, лук репчатый, кукуруза консервированная, карри соус 230 г",319
104,Wok Карри с рисом L,4,5,https://sushiwok.ru/img/74433262ea84168835b17b662e9cd66b,"цыпленок, морковь, перец болгарский, лук репчатый, кукуруза консервированная, карри соус, рис 380 г",409
105,Wok Том ям с креветкой М,5,5,https://sushiwok.ru/img/d0b0a66137555d2be7e942e367f52667,"лапша удон, креветка тигровая, шампиньоны, томаты черри, перец болгарский, том ям соус, кинза 200 г",399
106,Wok Том ям с креветкой L,6,5,https://sushiwok.ru/img/fe8745c38b50a66f2f409cb2ffc34457,"лапша удон, креветка тигровая, шампиньоны, томаты черри, перец болгарский, том ям соус, кинза 330 г",499
107,Wok с рисом классический М,7,5,https://sushiwok.ru/img/02cf9d1c92a99627367524f1e709df8b,"курица, рис, капуста, морковь, перец болгарский, лук репчатый, терияки соус, огурец, кунжут белый, шампиньоны 230 г",299
108,Wok с рисом классический L,8,5,https://sushiwok.ru/img/1b95881e68f1cf191346a0b5b29ce40f,"курица, рис, капуста, морковь, перец болгарский, лук репчатый, терияки соус, огурец, кунжут белый, шампиньоны 415 г",399
